14:11:35 [INFO] Log-Datei: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\logs\doombot_20260416_141135.log
14:11:35 [INFO] Metrik-Datei: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\logs\metrics_20260416_141135.csv
14:11:35 [INFO] Lade YOLO-Modell: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\..\DoomDataset\model_weights\trainedyolo.pt
14:11:35 [INFO] Lade ViZDoom-Config: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\custom_config.cfg
14:11:36 [INFO] ViZDoom initialisiert.
14:11:42 [DEBUG] Frame 143 | tic=582 | HP=100 | kein Target | action=idle | inf=18.3ms | 23.5 FPS
14:11:42 [DEBUG] Frame 144 | tic=586 | HP=100 | kein Target | action=idle | inf=18.5ms | 23.5 FPS
14:11:42 [DEBUG] Frame 145 | tic=590 | HP=100 | kein Target | action=idle | inf=18.6ms | 23.5 FPS
14:11:42 [DEBUG] Frame 146 | tic=594 | HP=100 | kein Target | action=idle | inf=16.8ms | 23.5 FPS
14:11:42 [DEBUG] Frame 147 | tic=598 | HP=100 | kein Target | action=idle | inf=16.4ms | 23.5 FPS
14:11:42 [DEBUG] Frame 148 | tic=602 | HP=100 | kein Target | action=idle | inf=17.9ms | 23.5 FPS
14:11:42 [DEBUG] Frame 149 | tic=606 | HP=100 | kein Target | action=idle | inf=17.4ms | 23.6 FPS
14:11:42 [DEBUG] Frame 150 | tic=610 | HP=100 | kein Target | action=idle | inf=17.7ms | 23.4 FPS
14:11:42 [DEBUG] Frame 151 | tic=614 | HP=100 | kein Target | action=idle | inf=18.0ms | 23.3 FPS
14:11:42 [DEBUG] Frame 152 | tic=618 | HP=100 | kein Target | action=idle | inf=18.3ms | 23.3 FPS
14:11:42 [DEBUG] Frame 153 | tic=622 | HP=100 | kein Target | action=idle | inf=17.8ms | 23.4 FPS
